"id","name","race","effect"
1,"Afpak","hybrid","Relaxed"
1,"Afpak","hybrid","Happy"
1,"Afpak","hybrid","Hungry"
1,"Afpak","hybrid","Sleepy"
1,"Afpak","hybrid","Dizzy"
1,"Afpak","hybrid","Depression"
1,"Afpak","hybrid","Stress"
1,"Afpak","hybrid","Lack of Appetite"
1,"Afpak","hybrid","Insomnia"
1,"Afpak","hybrid","Pain"
2,"African","sativa","Creative"
2,"African","sativa","Happy"
2,"African","sativa","Euphoric"
2,"African","sativa","Energetic"
2,"African","sativa","Talkative"
2,"African","sativa","Stress"
2,"African","sativa","Depression"
2,"African","sativa","Lack of Appetite"
2,"African","sativa","Pain"
2,"African","sativa","Nausea"
2,"African","sativa","Dry Mouth"
2,"African","sativa","Headache"
3,"Afternoon Delight","hybrid","Relaxed"
3,"Afternoon Delight","hybrid","Uplifted"
3,"Afternoon Delight","hybrid","Euphoric"
3,"Afternoon Delight","hybrid","Tingly"
3,"Afternoon Delight","hybrid","Hungry"
3,"Afternoon Delight","hybrid","Depression"
3,"Afternoon Delight","hybrid","Insomnia"
3,"Afternoon Delight","hybrid","Cramps"
3,"Afternoon Delight","hybrid","Pain"
3,"Afternoon Delight","hybrid","Stress"
3,"Afternoon Delight","hybrid","Dizzy"
3,"Afternoon Delight","hybrid","Dry Mouth"
3,"Afternoon Delight","hybrid","Headache"
3,"Afternoon Delight","hybrid","Paranoid"
4,"Afwreck","hybrid","Uplifted"
4,"Afwreck","hybrid","Happy"
4,"Afwreck","hybrid","Sleepy"
4,"Afwreck","hybrid","Relaxed"
4,"Afwreck","hybrid","Creative"
4,"Afwreck","hybrid","Fatigue"
4,"Afwreck","hybrid","Stress"
4,"Afwreck","hybrid","Headaches"
4,"Afwreck","hybrid","Pain"
4,"Afwreck","hybrid","Muscle Spasms"
4,"Afwreck","hybrid","Headache"
4,"Afwreck","hybrid","Dry Mouth"
4,"Afwreck","hybrid","Dry Eyes"
4,"Afwreck","hybrid","Dizzy"
4,"Afwreck","hybrid","Paranoid"
5,"Agent Orange","hybrid","Happy"
5,"Agent Orange","hybrid","Uplifted"
5,"Agent Orange","hybrid","Relaxed"
5,"Agent Orange","hybrid","Energetic"
5,"Agent Orange","hybrid","Euphoric"
5,"Agent Orange","hybrid","Stress"
5,"Agent Orange","hybrid","Depression"
5,"Agent Orange","hybrid","Pain"
5,"Agent Orange","hybrid","Headaches"
5,"Agent Orange","hybrid","Nausea"
5,"Agent Orange","hybrid","Dry Mouth"
5,"Agent Orange","hybrid","Dry Eyes"
5,"Agent Orange","hybrid","Paranoid"
5,"Agent Orange","hybrid","Dizzy"
5,"Agent Orange","hybrid","Headache"
6,"Agent Tangie","hybrid","Happy"
6,"Agent Tangie","hybrid","Uplifted"
6,"Agent Tangie","hybrid","Creative"
6,"Agent Tangie","hybrid","Euphoric"
6,"Agent Tangie","hybrid","Focused"
6,"Agent Tangie","hybrid","Depression"
6,"Agent Tangie","hybrid","Stress"
6,"Agent Tangie","hybrid","Fatigue"
6,"Agent Tangie","hybrid","Cramps"
6,"Agent Tangie","hybrid","Eye Pressure"
6,"Agent Tangie","hybrid","Dry Eyes"
6,"Agent Tangie","hybrid","Dry Mouth"
7,"Al's Dream","hybrid","Energetic"
7,"Al's Dream","hybrid","Talkative"
8,"Alaska","sativa","Happy"
8,"Alaska","sativa","Energetic"
8,"Alaska","sativa","Euphoric"
8,"Alaska","sativa","Relaxed"
8,"Alaska","sativa","Focused"
8,"Alaska","sativa","Stress"
8,"Alaska","sativa","Depression"
8,"Alaska","sativa","Pain"
8,"Alaska","sativa","Lack of Appetite"
8,"Alaska","sativa","Headaches"
8,"Alaska","sativa","Paranoid"
8,"Alaska","sativa","Anxious"
8,"Alaska","sativa","Dry Eyes"
8,"Alaska","sativa","Dizzy"
9,"Alaska Thunder Grape","hybrid","Creative"
9,"Alaska Thunder Grape","hybrid","Euphoric"
9,"Alaska Thunder Grape","hybrid","Focused"
9,"Alaska Thunder Grape","hybrid","Relaxed"
9,"Alaska Thunder Grape","hybrid","Tingly"
9,"Alaska Thunder Grape","hybrid","Eye Pressure"
9,"Alaska Thunder Grape","hybrid","Pain"
9,"Alaska Thunder Grape","hybrid","Stress"
10,"Alaskan Ice","sativa","Uplifted"
10,"Alaskan Ice","sativa","Euphoric"
10,"Alaskan Ice","sativa","Happy"
10,"Alaskan Ice","sativa","Energetic"
10,"Alaskan Ice","sativa","Creative"
10,"Alaskan Ice","sativa","Fatigue"
10,"Alaskan Ice","sativa","Depression"
10,"Alaskan Ice","sativa","Stress"
10,"Alaskan Ice","sativa","Pain"
10,"Alaskan Ice","sativa","Headaches"
10,"Alaskan Ice","sativa","Dry Mouth"
10,"Alaskan Ice","sativa","Paranoid"
10,"Alaskan Ice","sativa","Dry Eyes"
10,"Alaskan Ice","sativa","Dizzy"
11,"Alaskan Thunder Fuck","sativa","Happy"
11,"Alaskan Thunder Fuck","sativa","Euphoric"
11,"Alaskan Thunder Fuck","sativa","Uplifted"
11,"Alaskan Thunder Fuck","sativa","Energetic"
11,"Alaskan Thunder Fuck","sativa","Relaxed"
11,"Alaskan Thunder Fuck","sativa","Stress"
11,"Alaskan Thunder Fuck","sativa","Depression"
11,"Alaskan Thunder Fuck","sativa","Pain"
11,"Alaskan Thunder Fuck","sativa","Fatigue"
11,"Alaskan Thunder Fuck","sativa","Lack of Appetite"
11,"Alaskan Thunder Fuck","sativa","Dry Mouth"
11,"Alaskan Thunder Fuck","sativa","Dry Eyes"
11,"Alaskan Thunder Fuck","sativa","Paranoid"
11,"Alaskan Thunder Fuck","sativa","Headache"
11,"Alaskan Thunder Fuck","sativa","Dizzy"
12,"Albert Walker","hybrid","Happy"
12,"Albert Walker","hybrid","Euphoric"
12,"Albert Walker","hybrid","Hungry"
12,"Albert Walker","hybrid","Focused"
12,"Albert Walker","hybrid","Relaxed"
12,"Albert Walker","hybrid","Pain"
12,"Albert Walker","hybrid","Depression"
12,"Albert Walker","hybrid","Insomnia"
12,"Albert Walker","hybrid","Muscle Spasms"
12,"Albert Walker","hybrid","Stress"
12,"Albert Walker","hybrid","Dry Eyes"
12,"Albert Walker","hybrid","Dry Mouth"
12,"Albert Walker","hybrid","Headache"
12,"Albert Walker","hybrid","Dizzy"
12,"Albert Walker","hybrid","Paranoid"
13,"Alchemy","hybrid","Relaxed"
13,"Alchemy","hybrid","Uplifted"
13,"Alchemy","hybrid","Hungry"
13,"Alchemy","hybrid","Sleepy"
13,"Alchemy","hybrid","Tingly"
13,"Alchemy","hybrid","Eye Pressure"
13,"Alchemy","hybrid","Insomnia"
13,"Alchemy","hybrid","Stress"
13,"Alchemy","hybrid","Fatigue"
13,"Alchemy","hybrid","Headaches"
14,"Alf","hybrid","Relaxed"
14,"Alf","hybrid","Euphoric"
14,"Alf","hybrid","Creative"
14,"Alf","hybrid","Giggly"
14,"Alf","hybrid","Happy"
14,"Alf","hybrid","Depression"
14,"Alf","hybrid","Insomnia"
14,"Alf","hybrid","Muscle Spasms"
14,"Alf","hybrid","Stress"
14,"Alf","hybrid","Dry Mouth"
15,"Alice in Wonderland","sativa","Relaxed"
15,"Alice in Wonderland","sativa","Happy"
15,"Alice in Wonderland","sativa","Uplifted"
15,"Alice in Wonderland","sativa","Euphoric"
15,"Alice in Wonderland","sativa","Focused"
15,"Alice in Wonderland","sativa","Stress"
15,"Alice in Wonderland","sativa","Fatigue"
15,"Alice in Wonderland","sativa","Depression"
15,"Alice in Wonderland","sativa","Lack of Appetite"
15,"Alice in Wonderland","sativa","Muscle Spasms"
15,"Alice in Wonderland","sativa","Dry Mouth"
15,"Alice in Wonderland","sativa","Dry Eyes"
15,"Alice in Wonderland","sativa","Anxious"
15,"Alice in Wonderland","sativa","Dizzy"
16,"Alien Abduction","hybrid","Dry Mouth"
16,"Alien Abduction","hybrid","Happy"
16,"Alien Abduction","hybrid","Relaxed"
16,"Alien Abduction","hybrid","Creative"
16,"Alien Abduction","hybrid","Focused"
16,"Alien Abduction","hybrid","Insomnia"
16,"Alien Abduction","hybrid","Depression"
16,"Alien Abduction","hybrid","Fatigue"
16,"Alien Abduction","hybrid","Headaches"
16,"Alien Abduction","hybrid","Lack of Appetite"
16,"Alien Abduction","hybrid","Dry Eyes"
17,"Alien Apparition","hybrid","Euphoric"
17,"Alien Apparition","hybrid","Hungry"
17,"Alien Apparition","hybrid","Aroused"
17,"Alien Apparition","hybrid","Creative"
17,"Alien Apparition","hybrid","Dry Mouth"
17,"Alien Apparition","hybrid","Cramps"
17,"Alien Apparition","hybrid","Depression"
17,"Alien Apparition","hybrid","Eye Pressure"
17,"Alien Apparition","hybrid","Fatigue"
17,"Alien Apparition","hybrid","Headaches"
18,"Alien Asshat","hybrid","Euphoric"
18,"Alien Asshat","hybrid","Happy"
18,"Alien Asshat","hybrid","Creative"
18,"Alien Asshat","hybrid","Energetic"
18,"Alien Asshat","hybrid","Giggly"
18,"Alien Asshat","hybrid","Depression"
18,"Alien Asshat","hybrid","Stress"
18,"Alien Asshat","hybrid","Pain"
18,"Alien Asshat","hybrid","Fatigue"
18,"Alien Asshat","hybrid","Nausea"
18,"Alien Asshat","hybrid","Dizzy"
18,"Alien Asshat","hybrid","Dry Mouth"
19,"Alien Bubba","indica","Relaxed"
19,"Alien Bubba","indica","Euphoric"
19,"Alien Bubba","indica","Sleepy"
19,"Alien Bubba","indica","Giggly"
19,"Alien Bubba","indica","Focused"
19,"Alien Bubba","indica","Stress"
19,"Alien Bubba","indica","Pain"
19,"Alien Bubba","indica","Depression"
19,"Alien Bubba","indica","Insomnia"
19,"Alien Bubba","indica","Lack of Appetite"
19,"Alien Bubba","indica","Dizzy"
19,"Alien Bubba","indica","Dry Mouth"
20,"Alien Dawg","indica","Relaxed"
20,"Alien Dawg","indica","Euphoric"
20,"Alien Dawg","indica","Happy"
20,"Alien Dawg","indica","Sleepy"
20,"Alien Dawg","indica","Uplifted"
20,"Alien Dawg","indica","Stress"
20,"Alien Dawg","indica","Pain"
20,"Alien Dawg","indica","Insomnia"
20,"Alien Dawg","indica","Fatigue"
20,"Alien Dawg","indica","Nausea"
20,"Alien Dawg","indica","Dry Mouth"
20,"Alien Dawg","indica","Dry Eyes"
20,"Alien Dawg","indica","Paranoid"
20,"Alien Dawg","indica","Anxious"
20,"Alien Dawg","indica","Dizzy"
21,"Alien Dutchess","sativa","Euphoric"
21,"Alien Dutchess","sativa","Relaxed"
21,"Alien Dutchess","sativa","Uplifted"
21,"Alien Dutchess","sativa","Focused"
21,"Alien Dutchess","sativa","Happy"
21,"Alien Dutchess","sativa","Stress"
21,"Alien Dutchess","sativa","Pain"
21,"Alien Dutchess","sativa","Depression"
21,"Alien Dutchess","sativa","Insomnia"
21,"Alien Dutchess","sativa","Lack of Appetite"
22,"Alien Hallucination","hybrid","Euphoric"
22,"Alien Hallucination","hybrid","Happy"
22,"Alien Hallucination","hybrid","Relaxed"
22,"Alien Hallucination","hybrid","Headache"
22,"Alien Hallucination","hybrid","Uplifted"
22,"Alien Hallucination","hybrid","Stress"
22,"Alien Hallucination","hybrid","Depression"
22,"Alien Hallucination","hybrid","Pain"
22,"Alien Hallucination","hybrid","Muscle Spasms"
22,"Alien Hallucination","hybrid","Fatigue"
23,"Alien Inferno","hybrid","Happy"
23,"Alien Inferno","hybrid","Talkative"
23,"Alien Inferno","hybrid","Euphoric"
23,"Alien Inferno","hybrid","Energetic"
23,"Alien Inferno","hybrid","Creative"
23,"Alien Inferno","hybrid","Depression"
23,"Alien Inferno","hybrid","Stress"
23,"Alien Inferno","hybrid","Pain"
23,"Alien Inferno","hybrid","Fatigue"
23,"Alien Inferno","hybrid","Lack of Appetite"
24,"Alien Kush","indica","Relaxed"
24,"Alien Kush","indica","Euphoric"
24,"Alien Kush","indica","Sleepy"
24,"Alien Kush","indica","Uplifted"
24,"Alien Kush","indica","Giggly"
24,"Alien Kush","indica","Stress"
24,"Alien Kush","indica","Pain"
24,"Alien Kush","indica","Insomnia"
24,"Alien Kush","indica","Depression"
24,"Alien Kush","indica","Headaches"
24,"Alien Kush","indica","Dry Mouth"
24,"Alien Kush","indica","Paranoid"
24,"Alien Kush","indica","Dizzy"
24,"Alien Kush","indica","Headache"
24,"Alien Kush","indica","Dry Eyes"
25,"Alien OG","hybrid","Relaxed"
25,"Alien OG","hybrid","Euphoric"
25,"Alien OG","hybrid","Happy"
25,"Alien OG","hybrid","Uplifted"
25,"Alien OG","hybrid","Focused"
25,"Alien OG","hybrid","Stress"
25,"Alien OG","hybrid","Pain"
25,"Alien OG","hybrid","Depression"
25,"Alien OG","hybrid","Insomnia"
25,"Alien OG","hybrid","Muscle Spasms"
25,"Alien OG","hybrid","Dry Mouth"
25,"Alien OG","hybrid","Paranoid"
25,"Alien OG","hybrid","Dry Eyes"
25,"Alien OG","hybrid","Anxious"
25,"Alien OG","hybrid","Dizzy"
26,"Alien Reunion","hybrid","Euphoric"
26,"Alien Reunion","hybrid","Happy"
26,"Alien Reunion","hybrid","Relaxed"
26,"Alien Reunion","hybrid","Uplifted"
26,"Alien Reunion","hybrid","Creative"
26,"Alien Reunion","hybrid","Headaches"
26,"Alien Reunion","hybrid","Inflammation"
26,"Alien Reunion","hybrid","Lack of Appetite"
26,"Alien Reunion","hybrid","Muscle Spasms"
26,"Alien Reunion","hybrid","Pain"
27,"Alien Rift","indica","Relaxed"
27,"Alien Rift","indica","Happy"
27,"Alien Rift","indica","Euphoric"
27,"Alien Rift","indica","Hungry"
27,"Alien Rift","indica","Creative"
27,"Alien Rift","indica","Stress"
27,"Alien Rift","indica","Insomnia"
27,"Alien Rift","indica","Depression"
27,"Alien Rift","indica","Pain"
27,"Alien Rift","indica","Headaches"
27,"Alien Rift","indica","Dry Mouth"
28,"Alien Rock Candy","hybrid","Relaxed"
28,"Alien Rock Candy","hybrid","Euphoric"
28,"Alien Rock Candy","hybrid","Happy"
28,"Alien Rock Candy","hybrid","Sleepy"
28,"Alien Rock Candy","hybrid","Uplifted"
28,"Alien Rock Candy","hybrid","Insomnia"
28,"Alien Rock Candy","hybrid","Stress"
28,"Alien Rock Candy","hybrid","Pain"
28,"Alien Rock Candy","hybrid","Lack of Appetite"
28,"Alien Rock Candy","hybrid","Depression"
28,"Alien Rock Candy","hybrid","Dry Mouth"
28,"Alien Rock Candy","hybrid","Dry Eyes"
28,"Alien Rock Candy","hybrid","Paranoid"
28,"Alien Rock Candy","hybrid","Dizzy"
28,"Alien Rock Candy","hybrid","Anxious"
29,"Alien Sour Apple","hybrid","Euphoric"
29,"Alien Sour Apple","hybrid","Uplifted"
29,"Alien Sour Apple","hybrid","Creative"
29,"Alien Sour Apple","hybrid","Happy"
29,"Alien Sour Apple","hybrid","Relaxed"
29,"Alien Sour Apple","hybrid","Depression"
29,"Alien Sour Apple","hybrid","Lack of Appetite"
29,"Alien Sour Apple","hybrid","Muscle Spasms"
29,"Alien Sour Apple","hybrid","Stress"
30,"Alien Stardawg","sativa","Happy"
30,"Alien Stardawg","sativa","Uplifted"
30,"Alien Stardawg","sativa","Creative"
30,"Alien Stardawg","sativa","Euphoric"
30,"Alien Stardawg","sativa","Dry Mouth"
30,"Alien Stardawg","sativa","Stress"
30,"Alien Stardawg","sativa","Depression"
30,"Alien Stardawg","sativa","Lack of Appetite"
31,"Alien Technology","indica","Happy"
31,"Alien Technology","indica","Relaxed"
31,"Alien Technology","indica","Uplifted"
31,"Alien Technology","indica","Dry Mouth"
31,"Alien Technology","indica","Giggly"
31,"Alien Technology","indica","Headaches"
31,"Alien Technology","indica","Pain"
31,"Alien Technology","indica","Stress"
31,"Alien Technology","indica","Depression"
32,"Aliens On Moonshine","indica","Relaxed"
32,"Aliens On Moonshine","indica","Happy"
32,"Aliens On Moonshine","indica","Focused"
32,"Aliens On Moonshine","indica","Tingly"
32,"Aliens On Moonshine","indica","Depression"
32,"Aliens On Moonshine","indica","Headaches"
32,"Aliens On Moonshine","indica","Inflammation"
32,"Aliens On Moonshine","indica","Stress"
33,"Allen Wrench","sativa","Energetic"
33,"Allen Wrench","sativa","Uplifted"
33,"Allen Wrench","sativa","Happy"
33,"Allen Wrench","sativa","Creative"
33,"Allen Wrench","sativa","Euphoric"
33,"Allen Wrench","sativa","Stress"
33,"Allen Wrench","sativa","Depression"
33,"Allen Wrench","sativa","Pain"
33,"Allen Wrench","sativa","Nausea"
33,"Allen Wrench","sativa","Lack of Appetite"
33,"Allen Wrench","sativa","Dry Mouth"
33,"Allen Wrench","sativa","Anxious"
33,"Allen Wrench","sativa","Dizzy"
33,"Allen Wrench","sativa","Paranoid"
33,"Allen Wrench","sativa","Dry Eyes"
34,"Allkush","indica","Relaxed"
34,"Allkush","indica","Happy"
34,"Allkush","indica","Sleepy"
34,"Allkush","indica","Stress"
34,"Allkush","indica","Eye Pressure"
34,"Allkush","indica","Pain"
34,"Allkush","indica","Dry Eyes"
35,"Aloha","sativa","Energetic"
35,"Aloha","sativa","Happy"
35,"Aloha","sativa","Uplifted"
35,"Aloha","sativa","Relaxed"
35,"Aloha","sativa","Creative"
35,"Aloha","sativa","Depression"
35,"Aloha","sativa","Stress"
35,"Aloha","sativa","Pain"
35,"Aloha","sativa","Fatigue"
35,"Aloha","sativa","Headaches"
35,"Aloha","sativa","Dry Eyes"
35,"Aloha","sativa","Dry Mouth"
35,"Aloha","sativa","Dizzy"
36,"Aloha Limone","hybrid","Happy"
36,"Aloha Limone","hybrid","Relaxed"
36,"Aloha Limone","hybrid","Uplifted"
36,"Aloha Limone","hybrid","Creative"
36,"Aloha Limone","hybrid","Energetic"
36,"Aloha Limone","hybrid","Depression"
36,"Aloha Limone","hybrid","Stress"
36,"Aloha Limone","hybrid","Pain"
36,"Aloha Limone","hybrid","Dry Eyes"
36,"Aloha Limone","hybrid","Dry Mouth"
37,"Alohaberry","hybrid","Relaxed"
37,"Alohaberry","hybrid","Happy"
37,"Alohaberry","hybrid","Euphoric"
37,"Alohaberry","hybrid","Giggly"
37,"Alohaberry","hybrid","Energetic"
37,"Alohaberry","hybrid","Fatigue"
37,"Alohaberry","hybrid","Stress"
37,"Alohaberry","hybrid","Pain"
37,"Alohaberry","hybrid","Depression"
37,"Alohaberry","hybrid","Nausea"
37,"Alohaberry","hybrid","Dry Mouth"
37,"Alohaberry","hybrid","Dry Eyes"
37,"Alohaberry","hybrid","Paranoid"
38,"Alpha Blue","sativa","Energetic"
38,"Alpha Blue","sativa","Uplifted"
38,"Alpha Blue","sativa","Happy"
38,"Alpha Blue","sativa","Relaxed"
38,"Alpha Blue","sativa","Focused"
38,"Alpha Blue","sativa","Depression"
38,"Alpha Blue","sativa","Stress"
38,"Alpha Blue","sativa","Fatigue"
38,"Alpha Blue","sativa","Lack of Appetite"
38,"Alpha Blue","sativa","Insomnia"
38,"Alpha Blue","sativa","Dizzy"
38,"Alpha Blue","sativa","Anxious"
38,"Alpha Blue","sativa","Dry Eyes"
38,"Alpha Blue","sativa","Dry Mouth"
40,"Alpha Express","sativa","Energetic"
40,"Alpha Express","sativa","Uplifted"
40,"Alpha Express","sativa","Creative"
40,"Alpha Express","sativa","Focused"
40,"Alpha Express","sativa","Happy"
40,"Alpha Express","sativa","Cramps"
40,"Alpha Express","sativa","Depression"
40,"Alpha Express","sativa","Fatigue"
40,"Alpha Express","sativa","Headaches"
40,"Alpha Express","sativa","Inflammation"
40,"Alpha Express","sativa","Dry Mouth"
41,"Alpha OG","hybrid","Relaxed"
41,"Alpha OG","hybrid","Euphoric"
41,"Alpha OG","hybrid","Happy"
41,"Alpha OG","hybrid","Hungry"
41,"Alpha OG","hybrid","Creative"
41,"Alpha OG","hybrid","Pain"
41,"Alpha OG","hybrid","Stress"
41,"Alpha OG","hybrid","Depression"
41,"Alpha OG","hybrid","Insomnia"
41,"Alpha OG","hybrid","Fatigue"
41,"Alpha OG","hybrid","Dry Mouth"
41,"Alpha OG","hybrid","Dizzy"
41,"Alpha OG","hybrid","Dry Eyes"
41,"Alpha OG","hybrid","Paranoid"
42,"Alpine Blue","hybrid","Creative"
42,"Alpine Blue","hybrid","Energetic"
42,"Alpine Blue","hybrid","Uplifted"
42,"Alpine Blue","hybrid","Aroused"
42,"Alpine Blue","hybrid","Euphoric"
42,"Alpine Blue","hybrid","Depression"
42,"Alpine Blue","hybrid","Inflammation"
42,"Alpine Blue","hybrid","Muscle Spasms"
42,"Alpine Blue","hybrid","Pain"
42,"Alpine Blue","hybrid","Stress"
43,"Alpine Star","indica","Happy"
43,"Alpine Star","indica","Relaxed"
43,"Alpine Star","indica","Uplifted"
43,"Alpine Star","indica","Euphoric"
43,"Alpine Star","indica","Creative"
43,"Alpine Star","indica","Depression"
43,"Alpine Star","indica","Stress"
43,"Alpine Star","indica","Pain"
43,"Alpine Star","indica","Insomnia"
43,"Alpine Star","indica","Fatigue"
43,"Alpine Star","indica","Dry Mouth"
44,"Ambrosia","hybrid","Happy"
44,"Ambrosia","hybrid","Euphoric"
44,"Ambrosia","hybrid","Relaxed"
44,"Ambrosia","hybrid","Hungry"
44,"Ambrosia","hybrid","Tingly"
44,"Ambrosia","hybrid","Stress"
44,"Ambrosia","hybrid","Depression"
44,"Ambrosia","hybrid","Pain"
44,"Ambrosia","hybrid","Lack of Appetite"
44,"Ambrosia","hybrid","Fatigue"
44,"Ambrosia","hybrid","Dry Eyes"
44,"Ambrosia","hybrid","Headache"
44,"Ambrosia","hybrid","Anxious"
44,"Ambrosia","hybrid","Dry Mouth"
44,"Ambrosia","hybrid","Dizzy"
45,"American Dream","hybrid","Relaxed"
45,"American Dream","hybrid","Focused"
45,"American Dream","hybrid","Creative"
45,"American Dream","hybrid","Euphoric"
45,"American Dream","hybrid","Happy"
45,"American Dream","hybrid","Pain"
45,"American Dream","hybrid","Stress"
45,"American Dream","hybrid","Inflammation"
45,"American Dream","hybrid","Depression"
45,"American Dream","hybrid","Insomnia"
45,"American Dream","hybrid","Dry Mouth"
45,"American Dream","hybrid","Dry Eyes"
46,"American Kush","indica","Relaxed"
46,"American Kush","indica","Dry Eyes"
46,"American Kush","indica","Happy"
46,"American Kush","indica","Tingly"
46,"American Kush","indica","Sleepy"
46,"American Kush","indica","Pain"
46,"American Kush","indica","Muscle Spasms"
46,"American Kush","indica","Stress"
46,"American Kush","indica","Headaches"
46,"American Kush","indica","Insomnia"
46,"American Kush","indica","Dry Mouth"
47,"Americano","indica","Relaxed"
47,"Americano","indica","Focused"
47,"Americano","indica","Euphoric"
47,"Americano","indica","Aroused"
47,"Americano","indica","Creative"
47,"Americano","indica","Headaches"
47,"Americano","indica","Nausea"
47,"Americano","indica","Pain"
48,"Amethyst","hybrid","Dry Mouth"
48,"Amethyst","hybrid","Happy"
48,"Amethyst","hybrid","Dry Eyes"
48,"Amethyst","hybrid","Energetic"
48,"Amethyst","hybrid","Euphoric"
48,"Amethyst","hybrid","Fatigue"
48,"Amethyst","hybrid","Stress"
49,"Amethyst Bud","hybrid","Dry Mouth"
49,"Amethyst Bud","hybrid","Happy"
49,"Amethyst Bud","hybrid","Dry Eyes"
49,"Amethyst Bud","hybrid","Energetic"
49,"Amethyst Bud","hybrid","Euphoric"
49,"Amethyst Bud","hybrid","Fatigue"
49,"Amethyst Bud","hybrid","Stress"
50,"Amnesia","sativa","Happy"
50,"Amnesia","sativa","Relaxed"
50,"Amnesia","sativa","Euphoric"
50,"Amnesia","sativa","Uplifted"
50,"Amnesia","sativa","Energetic"
50,"Amnesia","sativa","Stress"
50,"Amnesia","sativa","Depression"
50,"Amnesia","sativa","Pain"
50,"Amnesia","sativa","Headaches"
50,"Amnesia","sativa","Lack of Appetite"
50,"Amnesia","sativa","Dry Mouth"
50,"Amnesia","sativa","Dry Eyes"
50,"Amnesia","sativa","Paranoid"
50,"Amnesia","sativa","Headache"
50,"Amnesia","sativa","Anxious"
52,"Amnesia Haze","sativa","Happy"
52,"Amnesia Haze","sativa","Euphoric"
52,"Amnesia Haze","sativa","Uplifted"
52,"Amnesia Haze","sativa","Energetic"
52,"Amnesia Haze","sativa","Creative"
52,"Amnesia Haze","sativa","Depression"
52,"Amnesia Haze","sativa","Stress"
52,"Amnesia Haze","sativa","Fatigue"
52,"Amnesia Haze","sativa","Pain"
52,"Amnesia Haze","sativa","Headaches"
52,"Amnesia Haze","sativa","Dry Mouth"
52,"Amnesia Haze","sativa","Dry Eyes"
52,"Amnesia Haze","sativa","Paranoid"
52,"Amnesia Haze","sativa","Dizzy"
52,"Amnesia Haze","sativa","Headache"
53,"Ancient Kush","indica","Relaxed"
53,"Ancient Kush","indica","Sleepy"
53,"Ancient Kush","indica","Aroused"
53,"Ancient Kush","indica","Creative"
53,"Ancient Kush","indica","Energetic"
53,"Ancient Kush","indica","Stress"
53,"Ancient Kush","indica","Pain"
53,"Ancient Kush","indica","Headaches"
53,"Ancient Kush","indica","Lack of Appetite"
54,"Ancient OG","indica","Relaxed"
54,"Ancient OG","indica","Euphoric"
54,"Ancient OG","indica","Happy"
54,"Ancient OG","indica","Hungry"
54,"Ancient OG","indica","Sleepy"
54,"Ancient OG","indica","Stress"
54,"Ancient OG","indica","Depression"
54,"Ancient OG","indica","Headaches"
54,"Ancient OG","indica","Insomnia"
54,"Ancient OG","indica","Pain"
54,"Ancient OG","indica","Dry Mouth"
54,"Ancient OG","indica","Dry Eyes"
55,"Anesthesia","indica","Relaxed"
55,"Anesthesia","indica","Sleepy"
55,"Anesthesia","indica","Hungry"
55,"Anesthesia","indica","Happy"
55,"Anesthesia","indica","Euphoric"
55,"Anesthesia","indica","Pain"
55,"Anesthesia","indica","Stress"
55,"Anesthesia","indica","Insomnia"
55,"Anesthesia","indica","Headaches"
55,"Anesthesia","indica","Inflammation"
55,"Anesthesia","indica","Dry Mouth"
55,"Anesthesia","indica","Dry Eyes"
55,"Anesthesia","indica","Dizzy"
55,"Anesthesia","indica","Paranoid"
55,"Anesthesia","indica","Headache"
56,"Angel OG","indica","Euphoric"
56,"Angel OG","indica","Relaxed"
56,"Angel OG","indica","Sleepy"
56,"Angel OG","indica","Happy"
56,"Angel OG","indica","Dry Mouth"
56,"Angel OG","indica","Insomnia"
56,"Angel OG","indica","Pain"
56,"Angel OG","indica","Stress"
57,"Animal Cookies","hybrid","Relaxed"
57,"Animal Cookies","hybrid","Happy"
57,"Animal Cookies","hybrid","Euphoric"
57,"Animal Cookies","hybrid","Sleepy"
57,"Animal Cookies","hybrid","Uplifted"
57,"Animal Cookies","hybrid","Stress"
57,"Animal Cookies","hybrid","Pain"
57,"Animal Cookies","hybrid","Depression"
57,"Animal Cookies","hybrid","Insomnia"
57,"Animal Cookies","hybrid","Fatigue"
57,"Animal Cookies","hybrid","Dry Mouth"
57,"Animal Cookies","hybrid","Dry Eyes"
57,"Animal Cookies","hybrid","Anxious"
57,"Animal Cookies","hybrid","Paranoid"
57,"Animal Cookies","hybrid","Dizzy"
58,"Anonymous OG","indica","Relaxed"
58,"Anonymous OG","indica","Euphoric"
58,"Anonymous OG","indica","Sleepy"
58,"Anonymous OG","indica","Happy"
58,"Anonymous OG","indica","Aroused"
58,"Anonymous OG","indica","Insomnia"
58,"Anonymous OG","indica","Eye Pressure"
58,"Anonymous OG","indica","Fatigue"
58,"Anonymous OG","indica","Headaches"
58,"Anonymous OG","indica","Inflammation"
58,"Anonymous OG","indica","Dry Mouth"
59,"Ape Shit","hybrid","Giggly"
59,"Ape Shit","hybrid","Relaxed"
59,"Ape Shit","hybrid","Euphoric"
59,"Ape Shit","hybrid","Happy"
59,"Ape Shit","hybrid","Creative"
59,"Ape Shit","hybrid","Depression"
59,"Ape Shit","hybrid","Insomnia"
59,"Ape Shit","hybrid","Stress"
59,"Ape Shit","hybrid","Lack of Appetite"
59,"Ape Shit","hybrid","Eye Pressure"
