"id","name","race","effect"
296,"Blackberry Lime Haze","sativa","Stress"
296,"Blackberry Lime Haze","sativa","Depression"
296,"Blackberry Lime Haze","sativa","Pain"
296,"Blackberry Lime Haze","sativa","Fatigue"
296,"Blackberry Lime Haze","sativa","Lack of Appetite"
297,"Blackberry Pie","hybrid","Euphoric"
297,"Blackberry Pie","hybrid","Creative"
297,"Blackberry Pie","hybrid","Hungry"
297,"Blackberry Pie","hybrid","Relaxed"
297,"Blackberry Pie","hybrid","Happy"
297,"Blackberry Pie","hybrid","Pain"
297,"Blackberry Pie","hybrid","Cramps"
297,"Blackberry Pie","hybrid","Inflammation"
297,"Blackberry Pie","hybrid","Nausea"
298,"Blackberry Rhino","indica","Dry Mouth"
298,"Blackberry Rhino","indica","Relaxed"
298,"Blackberry Rhino","indica","Happy"
298,"Blackberry Rhino","indica","Creative"
298,"Blackberry Rhino","indica","Hungry"
298,"Blackberry Rhino","indica","Stress"
298,"Blackberry Rhino","indica","Pain"
298,"Blackberry Rhino","indica","Insomnia"
298,"Blackberry Rhino","indica","Muscle Spasms"
298,"Blackberry Rhino","indica","Depression"
298,"Blackberry Rhino","indica","Dry Mouth"
298,"Blackberry Rhino","indica","Dry Eyes"
299,"Blackberry Trainwreck","hybrid","Energetic"
299,"Blackberry Trainwreck","hybrid","Euphoric"
299,"Blackberry Trainwreck","hybrid","Happy"
299,"Blackberry Trainwreck","hybrid","Uplifted"
299,"Blackberry Trainwreck","hybrid","Relaxed"
299,"Blackberry Trainwreck","hybrid","Pain"
299,"Blackberry Trainwreck","hybrid","Stress"
299,"Blackberry Trainwreck","hybrid","Insomnia"
299,"Blackberry Trainwreck","hybrid","Nausea"
299,"Blackberry Trainwreck","hybrid","Depression"
299,"Blackberry Trainwreck","hybrid","Dry Mouth"
299,"Blackberry Trainwreck","hybrid","Dizzy"
300,"Blackberry x Blueberry","indica","Relaxed"
300,"Blackberry x Blueberry","indica","Happy"
300,"Blackberry x Blueberry","indica","Uplifted"
300,"Blackberry x Blueberry","indica","Euphoric"
300,"Blackberry x Blueberry","indica","Sleepy"
300,"Blackberry x Blueberry","indica","Stress"
300,"Blackberry x Blueberry","indica","Depression"
300,"Blackberry x Blueberry","indica","Headaches"
300,"Blackberry x Blueberry","indica","Lack of Appetite"
300,"Blackberry x Blueberry","indica","Fatigue"
301,"Blackwater","indica","Relaxed"
301,"Blackwater","indica","Sleepy"
301,"Blackwater","indica","Euphoric"
301,"Blackwater","indica","Happy"
301,"Blackwater","indica","Hungry"
301,"Blackwater","indica","Pain"
301,"Blackwater","indica","Stress"
301,"Blackwater","indica","Insomnia"
301,"Blackwater","indica","Depression"
301,"Blackwater","indica","Lack of Appetite"
301,"Blackwater","indica","Dry Mouth"
301,"Blackwater","indica","Dry Eyes"
301,"Blackwater","indica","Dizzy"
301,"Blackwater","indica","Headache"
301,"Blackwater","indica","Paranoid"
302,"Blaze","sativa","Energetic"
302,"Blaze","sativa","Euphoric"
302,"Blaze","sativa","Creative"
302,"Blaze","sativa","Focused"
302,"Blaze","sativa","Uplifted"
302,"Blaze","sativa","Pain"
302,"Blaze","sativa","Stress"
302,"Blaze","sativa","Depression"
302,"Blaze","sativa","Inflammation"
302,"Blaze","sativa","Nausea"
302,"Blaze","sativa","Dry Mouth"
303,"Blissful Wizard","hybrid","Happy"
303,"Blissful Wizard","hybrid","Euphoric"
303,"Blissful Wizard","hybrid","Talkative"
303,"Blissful Wizard","hybrid","Creative"
303,"Blissful Wizard","hybrid","Relaxed"
303,"Blissful Wizard","hybrid","Stress"
303,"Blissful Wizard","hybrid","Depression"
303,"Blissful Wizard","hybrid","Nausea"
303,"Blissful Wizard","hybrid","Pain"
303,"Blissful Wizard","hybrid","Insomnia"
304,"Blob OG","hybrid","Relaxed"
304,"Blob OG","hybrid","Dry Mouth"
304,"Blob OG","hybrid","Euphoric"
304,"Blob OG","hybrid","Creative"
304,"Blob OG","hybrid","Dry Eyes"
304,"Blob OG","hybrid","Depression"
304,"Blob OG","hybrid","Stress"
304,"Blob OG","hybrid","Fatigue"
304,"Blob OG","hybrid","Headaches"
304,"Blob OG","hybrid","Inflammation"
304,"Blob OG","hybrid","Dry Eyes"
304,"Blob OG","hybrid","Dry Mouth"
305,"Blockhead","hybrid","Relaxed"
305,"Blockhead","hybrid","Happy"
305,"Blockhead","hybrid","Hungry"
305,"Blockhead","hybrid","Sleepy"
305,"Blockhead","hybrid","Euphoric"
305,"Blockhead","hybrid","Pain"
305,"Blockhead","hybrid","Lack of Appetite"
305,"Blockhead","hybrid","Stress"
305,"Blockhead","hybrid","Headaches"
305,"Blockhead","hybrid","Insomnia"
305,"Blockhead","hybrid","Dry Mouth"
305,"Blockhead","hybrid","Dry Eyes"
305,"Blockhead","hybrid","Headache"
305,"Blockhead","hybrid","Dizzy"
305,"Blockhead","hybrid","Paranoid"
